あいあいあ	アイアイアイ
さんさんさ	大泉洋のサンサンサンデー
さんだんさ	サンダンサー
さーくーさ	サークーサイムー
さーばーさ	サーバーサイド・スクリプト
しあかあし	ニシアカアシチョウゲンボウ
しうみうし	クロシタナシウミウシ
しきめきし	ゴシキメキシコインコ
しとひとし	たけしとひとし
しまいまし	心にしまいましょう
しましまし	しましましっぽ
しまだまし	シマダマシンツール
しゅしゅし	シュシュシュの娘
しらじらし	しらじらしい
しんけんし	しんけんしょうぶ
しんしんし	シンシンシン!_トンヨナラ
しんでんし	いしんでんしん
しんぶんし	しんぶんしゃ
しんろんし	むしんろんしゃ
しーいーし	シーイーシー
しーえーし	シーエーシー
しーかーし	シーカーシャー
しーだーし	シーダーシティ_(ユタ州)
しーびーし	シービーシー食品工業
しーぴーし	シーピーシーレコード
じぇじぇじ	じぇじぇじぇ
じぐざぐじ	ジグザグジギー
じゃじゃじ	じゃじゃじゃTV
すうぃうす	ウェスウィウス火山
すかふかす	トランスカフカス
すきすきす	スキスキスキップ
すくすくす	色々ですくすくす
すてのてす	キロステノテス
すてむてす	システムテスト
すとまとす	ストマトスクス科
すとらとす	小ピロストラトス
すますます	すますますずき
すりぶりす	エクスリブリス
すーばーす	スーバースター・スティーヴ
すーぱーす	スーパースポーツ
ずいずいず	ずいずいずっころばし
ずかみかず	みずかみかずよ
ずびずびず	ズビズビズー
せいせいせ	セイセイセイ
せいめいせ	せいめいせつ
せんあんせ	センアンセスター
ぜんしんぜ	ぜんしんぜんれい
そるざるそ	ソルフィン・ソルザルソン
そーらーそ	メサ・ソーラーソックス
ただただた	タダタダタダヨウガニ
たむたむた	たむたむたいむ
たるするた	ジャマル・オタルスルタノフ
たんおんた	ウェスタンオンタリオ大学
たんけんた	ピカチュウたんけんたい
たんたんた	タンタンターン!
たーでーた	マスターデータ管理
たーひーた	コンベクターヒーター
たーべーた	マスターベータソン
たーぽーた	ヴァンテージマスターポータブル
たーめーた	センターメーター
たーりーた	ターリーターキー
たーろーた	ヘリコプターローター
だぁだぁだ	だぁだぁだぁ
だっだっだ	チュルリラ・チュルリラ・ダッダッダ!
だんじんだ	ダンジンダン・ポジドン
だーもーだ	ナレーンドラ・ダーモーダルダース・モーディー
ちおびおち	デチオビオチン合成酵素
ちぴちぴち	チピチピチャパチャパ
ちゃちゃち	鬼ちゃん・西やんの日曜ちゃちゃちゃ
ちゅちゅち	チュチュチュファミリー
っくすくっ	りぼんマスコットコミックスクッキー
っくのくっ	オリンピックのクック諸島選手団
っしゅしっ	ブリティッシュシップビルダーズ
っっっっっ	全っっっっっ然知らない街を歩いてみたものの
っとすとっ	ヴィットストックの戦い
っとっとっ	ほっとっとっとな_まいにち
つらつらつ	つらつらつばき
つりたりつ	つりたりつりたり
つるまるつ	ツルマルツヨシ
てぃくぃて	アメリカン・アンティクィテイ
てぃゔぃて	レラティヴィティ・メディア
てけてけて	こたつむすめでテケテケテ
てすとすて	テストステロン
てったって	なんてったって日曜はスポーツ
てるまるて	カステルマルテ
でぃしぃで	でぃしぃでぃ
でぃゔぃで	インディヴィデュアル・ソウト・パターンズ
でいばいで	デイバイデイ
ででででで	デッドデッドデーモンズデデデデデストラクション
でるはるで	エミール・アブデルハルデン
でんりんで	ウンターデンリンデン
ときめきと	ときめきとちぎ
としとしと	あめたんとしとしと坊主
とふるふと	ラントフルフト
とふーふと	ゲラルド・トフーフト
とぷかぷと	トプカプトロフィー
とらけらと	テトラケラトプス
とらとらと	トラトラトラ_(曖昧さ回避)
とるうると	大怪獣バトルウルトラコロシアム
とるがると	トルガルト峠
とるべると	リトルベルト海峡
とるぺると	シェントルペルト
とんせんと	バラトンセントジェルジ_-_タポルツァ_-_ウク線
とんてんと	伊万里トンテントン祭り
とんとんと	トントントンカラリンと隣組
とんめんと	アトンメントのフランシスコ修道会
とーばーと	ロン・トーバート
とーむーと	シャトームートン
とーりーと	トイ・ストーリートゥーン：ハワイアン・バケーション
どあるあど	イードアルアドハー
どぅどぅど	ドゥドゥドゥ・デ・ダダダ
どきどきど	ドキドキドン!一年生/ドレミファンタジー
どどどどど	ドドドドドッジ!
どらどらど	ドラドラドラゴンエイジ
どんそんど	ドンソンドラム
どんどんど	どんどんどんの森
どーこーど	ボドーコード
どーどーど	ドーナツドードードゥ!
なうなうな	ナウナウナウ大行進
なかだかな	ナカダカナシカコール
ななななな	バナナナナナ
ななのなな	バナナのナナ
なんなんな	なんなんなあに
にこにこに	ニコニコニュース
にゃにゃに	ニャニャニャ!_ネコマリオタイム
にーもーに	サニーシャイニーモーニング
ぬんぬんぬ	日曜ヒマするあなたに送る_ヌンヌンヌーン!
ねりねりね	ねりねりねりま
のあじあの	香取慎吾のアジアのMIKATA
のいたいの	飯塚雅弓のいたいのとんでけ!
のげげげの	水木しげるのゲゲゲの怪談
のこのこの	しかのこのこのここしたんたん
のすいすの	各年のスイスの一覧
のちのちの	のちのちのシトロン
のなななの	野のなななのか
のなんなの	僕、桃太郎のなんなのさ
のねのねの	あのねのねのオールナイトニッポン
のびのびの	関東学院のびのびのば園
のらのらの	のらのらの〜ら
のーのーの	ノーノーノー
はいはいは	ハイハイハイ
はどはどは	ハドハドハンカ
はめはめは	南のしまのハメハメハ大王
はんしんは	はんしんはんぎ
はーばーは	ハーバーハイウェイ
はーらーは	ハーラーハラ
ばこばこば	バコバコバスツアー
ばばばばば	洲崎綾のバババババーチャル
ばばんばば	ババンババンバンバンパイア
ばらくらば	バラクラバの戦い
ばらばらば	バラバラバナナ
ばりばりば	世界バリバリバリュー!!
ばるさるば	バルサルバ洞
ばんでんば	バンデンバーグ空軍基地
ばんばんば	南原バンバンバン
ばーがーば	バーガーバーガーポケット
ぱいぱいぱ	アメリカン・パイパイパイ!完結編_俺たちの同騒会
ぱかぱかぱ	パカパカパッションスペシャル
ぱちぱちぱ	パチパチパンチ
ぱぱのぱぱ	パパのパパ_(遊助の曲)
ぱぱぱぱぱ	パパパパパフィー
ぱやぱやぱ	パヤパヤパイン
ぱらぱらぱ	パラパラパラダイス
ぱりぱりぱ	桑原由気と本渡楓のパリパリパーリィ☆
ぱんぱんぱ	開運コメディ_今日も大吉!パンパンパン
ぱーおーぱ	ドレスデン・ゼンパーオーパー
ぱーきーぱ	パーキーパーティー
ぱーにーぱ	第二次パーニーパトの戦い
ひらひらひ	ヒラヒラヒラク秘密ノ扉
びーしーび	ビーシービージーマックスアズリア
ぴちぴちぴ	ピチピチピッチ
ぴーぴーぴ	江頭2:50のピーピーピーするぞ!
ふぃてぃふ	マフィティフ
ふぇいぇふ	ドロフェイェフ・タマラ
ふくふくふ	ふくふくふにゃ～ん
ふっふっふ	フッフッフッってするんです
ふなふなふ	ふなっしーのふなふなふな日和
ふりどりふ	ミハル・フリドリフ
ふるおるふ	アシフルオルフェン
ふるごるふ	パワフルゴルフ
ふるするふ	フルスルファミド
ふんふんふ	寺島拓篤のふんふんふふ～ん♪ふふふんふ～ん♪♪
ぶいぶいぶ	ブイブイブイテューヌ
ぶたぶたぶ	かさぶたぶたぶ
ぶれいれぶ	バート・ブレイレブン
ぶんぶんぶ	ブンブンブン
ぷりぷりぷ	プリプリプリンス
ぷるぷるぷ	プルプルプルン
ぷれぷれぷ	ぷれぷれぷれあです_〜クレマンティーヌ逃亡編〜
ぷわぷわぷ	われらがプワプワプーワプワ
ぷんいんぷ	オープンインプリメンテーション
ぷーぷーぷ	プープープー
へいへいへ	ヘイヘイヘイ
べるたるべ	ベルタルベ山
べろべろべ	ベロベロベースボール
べーとーべ	敬愛なるベートーベン
ぺけぺけぺ	ペケペケペケル
ぺらぺらぺ	ペラペラペラオ
ぺんたんぺ	シクロペンタンペントン
ほーまーほ	ホーマーホーク
ほーりーほ	水戸ホーリーホックマガジン
ぼけぼけぼ	ヤッターマン外伝_ボケボケボヤッキー
ぼんぼんぼ	宮崎由加のボンボンボンソワ
ぽりかりぽ	ポリカリポフ_R-5_(航空機)
ぽんだんぽ	ポンダンポンダン_王様の恋
ぽんぽんぽ	ミルモ_ポンポンポン!
まいまいま	まいまいまいごえん
まりまりま	マリマリマリー
まんそんま	マンソンマンツェン
まーなーま	ヴィルドゥナガル・マーナーマドゥライ線
みにみにみ	金田朋子のミニミニミクロ電子幼稚園
むあんあむ	ムアンアムナートチャルーン郡
むにむにむ	チューチューラブリームニムニムラムラ
めあめあめ	メアメアメア
めつぶつめ	コメツブツメクサ
もぐもぐも	モグモグモギュー
もしもしも	もしもしももかちゃん
ものそのも	ものそのもの
もふもふも	モフモフモー
ももすもも	ももすももす
ももももも	すももももも
もりもりも	もりもりもと
もんけんも	ミツモンケンモン
もんとんも	ウエストエドモントンモール
もんもんも	モンモンモン
やあやあや	若さで歌おう_ヤアヤアヤング!
やーやーや	ヤーヤーヤーズ
ゆめゆめゆ	ゆめゆめゆうゆう
ゆーざーゆ	ユーザーユニオン事件
よーよーよ	＃よーよーよー
らいえいら	プライエイラ革命
らいらいら	愛は散って_ライライラライラ
らがらがら	アローラガラガラ
らきあきら	あらきあきら
らじおじら	ABCラジオジラ
らすちすら	ラスチスラヴ
らたなたら	プラパワデ・ジャロエンラタナタラコン
らとすとら	ツァラトストラ
らどらどら	セミ・ラドラドラ
らはらはら	サクラハラハラ
らぶらぶら	ラブラブライバル
らまんまら	カフラマンマラシュ県
らんがんら	ランガンラン/夢見るBoy守るため
らんきんら	ランキンランキン
らんらんら	ランランラン
らーぼーら	ミラーボーラー
りあげあり	ハリブトシリアゲアリ
りあるあり	円谷幸吉メモリアルアリーナ
りかとかり	ラテンアメリカとカリブ海グループ
りくんくり	プーリクンクリット・チューサクサクンウィブーン
りしあしり	トリシアシリーズ
りすますり	クリスマスリース
りとるとり	リトルトリップ
りどひどり	ジルコノセンクロリドヒドリド
りばいばり	リバイバリスト
りんでんり	リンデンリリー
りーくーり	フリークーリング
りーつーり	ムスリムフレンドリーツーリズム
るげんげる	ドッペルゲンゲル
るこんこる	ホテルコンコルド浜松
るてえてる	Β-アルテエテル
るてめてる	アルテメテル・ルメファントリン
るびーびる	シェルビービル_(インディアナ州)
るまんまる	グルマンマルセ
るんだんる	リーネ・ヴァルンダンル
るーえーる	株式会社ブルーエール
るーがーる	ラ・ブルーガール
るーごーる	ブルーゴールド
るーしーる	ブルーシールド
るーぜーる	ロドルフ・クルーゼール
るーたーる	バーンプルータールアン駅
るーぱーる	ブルーパール
るーほーる	ポールトゥウィン・ピットクルーホールディングス
るーぼーる	ブルーボールズ
るーまーる	ヘンドリック・ブルーマールト
るーみーる	ルーミールーミー
るーれーる	ペルーレール
るーろーる	トゥルーロール
れるびるれ	ゲンチレルビルレイ
れーさーれ	レーサーレプリカ
れーざーれ	レーザーレーダー
れーたーれ	クレーターレーク
れーなーれ	トレーナーレシオ
ろかろかろ	うしろかろかろと
ろんもんろ	ロンモンロウ
ろーらーろ	ローラーロッカーアーム
ろーりーろ	グローリーロード
わいわいわ	ワイワイワールド2_SOSパセリ城
わんおんわ	ワンオンワンミーティング
わんわんわ	ネコニャンニャンニャン_イヌワンワンワン_カエルもアヒルもガーガーガー
わーわーわ	ワーワーワールド
んえあえん	フィアット・ツインエアエンジン
んかくかん	センカクカンアオイ
んかわかん	タ・シュンカワカン・ウィトコ
んかんかん	灘康次とモダンカンカン
んきーきん	南京モンキーキング
んけんけん	ジャンケンケンちゃん
んさむさん	ロンサムサンダウン
んさんさん	エイシンサンサン
んしゃしん	はんしゃしんけい
んじしじん	カンジシジン
んたいたん	ティーンタイタンズ
んたーたん	センタータンクレイアウト
んだむだん	放課後ランダムダンジョン
んちんちん	名犬リンチンチン
んでんでん	ぶんでんでんこ
んとんとん	名犬ウォントントン
んどこどん	おんどこどん!
んどるどん	ヴィクトリア・ペンドルドン
んどんどん	ちんどんどん
んばがばん	恋のブンバガバン
んばらばん	ナンバラバンバンバン
んばーばん	スバル・サンバーバン
んべんべん	ロンベンベン
んほすほん	エチレンジアミンテトラメチレンホスホン酸
んぽんぽん	ジャンポンポン
んまのまん	新春大売出し!さんまのまんま
んまーまん	ヴァルター・マックス・ツィンマーマン
んらんらん	シャンランラン_feat.96猫/Princess
んわんわん	わんちゃんわんわんねこにゃんにゃん
ゔぇりぇゔ	ズヴェリェヴァ
ーえすえー	ホンダ・レーシング・コーポレーション・ユーエスエー
ーえぬえー	横浜ディーエヌエー・ベイスターズ
ーえるえー	ユーエルエーペックス
ーおこおー	ラーオコオーン
ーかーかー	キーカーカー
ーけーけー	東亜ディーケーケー
ーこむこー	ティーコムコーポレーション
ーごーごー	ダッシャーゴーゴー
ーさるさー	ユニバーサルサービス料
ーしゃしー	マザーシャシー
ーしーしー	ユーシーシー上島珈琲株式会社
ーじゃじー	ニュージャジー交響楽団
ーすとすー	ゴーストスープ
ーちすちー	ペダガギーチスチーインスチトゥート駅
ーちゃちー	ガームパン・ウェーチャチーワ
ーでぃでー	トゥーキューディデース
ーとすとー	光岡・ビュートストーリー
ーとるとー	タートルトーク
ーないなー	仙台エイティーナイナーズ
ーなーなー	ドン・スティーヴン・セーナーナーヤカ
ーばりばー	キューバリバー
ーばーばー	ラーバーバーン
ーぱいぱー	ビリーパイパー
ーぱーぱー	スーパーパートナー
ーびーびー	シービービー
ーべいべー	劇団ベイビーベイビーベイベー
ーべるべー	ヌーベルベースボールクラブ
ーまーまー	マランツコンシューマーマーケティング
ーよーよー	ハイパーヨーヨー_バーニング
ーらからー	マジョーラカラー
ーらっらー	ジャーラッラー・アル＝マッリー
ーらーらー	ガウハーラーラー・ベーグム
ーりとりー	リバーリトリート雅樂倶
ーるえるー	ホールエルー法
ーるぐるー	ロイヤルメールグループ
ーるするー	ラガールスルー
ーるずるー	ガールズルール
ーるどるー	ボールドルーラー系
ーるぶるー	ペールブルー
ーるぷるー	アルコールプルーフ
ーるぺるー	バスケットボールペルー代表
ーれるれー	ローレルレーシング
ーろくろー	オーロクローム
ーろどろー	ユーロドローン
いぇいいぇい	ふじきイェイイェイ
いたいいたい	イタイイタイ病
いないいない	いないいない病
もももももも	半蔵_(すもももももも)
やんややんや	やんややんやNight_〜踊ろよ※※〜
あーちーちーあ	アーチーチーアーチー
ぃぃぃぃぃぃぃ	ラッキィィィィィィィ7
ぇぇぇぇぇぇぇ	一発めぇぇぇぇぇぇぇ!
おりおんおりお	高陽オリオンオリオンズ
こざこざこざこ	ざーこざこざこざこ先生
ごくらくらくご	石切亭ごくらくらくごの会
さんこーこんさ	サンコーコンサルタント
じゃじゃじゃじ	じゃじゃじゃじゃ〜ン!
すがすがすがす	劇団バスガスガスガス
っぽんいんぽっ	ニッポンインポッシブル
てくてくてくて	テクテクテクテク
ばくばくばくば	ゴン_バクバクバクバクアドベンチャー
ぽいぽいぽいぽ	ぽいぽいぽいぽぽいぽいぽぴー
みなみのみなみ	ミナミノミナミノ
らいらわらいら	アルフライラワライラ
ろてすとすてろ	ジヒドロテストステロン
わんわんわんわ	わんわんわんわんN_1!!
んかんみんかん	アンカンミンカン
んげるべるげん	コンラドゥス・メンゲルベルゲンシス
んさんぎんさん	きんさんぎんさん
んちんかんちん	とんちんかんちん一休さん
んでんかんでん	なんでんかんでんフーズ
んねんまんねん	ラックライフのでんねんまんねん
んぷんかんぷん	ちんぷんかんぷん
んりーまーりん	マンリーマーリンズ
ーがあくあがー	リーガアクアガーデン
ーきーとーきー	ウォーキートーキー
ーしーるーしー	ジューシールーシー
ーにーみーにー	イーニーミーニーマイニーモー
ーばーおーばー	フーバーオーバー
ーぱーぺーぱー	スーパーペーパーマリオ
ーぱーるーぱー	ウーパールーパー
ーらーぼーらー	ローラーボーラー
ーりーほーりー	ローリーホーリーオーバー_サーカス
ああああああああ	美少女作家と目指すミリオンセラアアアアアアアアッ!!
じゃじゃじゃじゃじ	ジャジャジャジャジャパン
すきときめきときす	恋の呪文はスキトキメキトキス
すーぱーすーぱーす	スーパースーパーストリーム
ですですですですで	デスデスデスデスデスラビッツですっ!
やーやーやーやーや	ヤーヤーヤーヤーヤー
めめめめめめめめめめ	メメメメメメメメメメンヘラぁ…
すきすきすきすきすきす	すきすきすきすきすきすきっ!
ぱっぱっぱっぱっぱっぱ	パッパッパッパッパッパッPerfume
ぽんぽんぽんぽんぽんぽんぽ	さきぽんぽんぽんぽんぽんぽんぽん
まるまるまるまるまるまるまるま	まるまるまるまるまるまるまるまる殺人事件
